Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
PARC CANBERRA,"1,069,000",947.23,"1,129",17 Feb 2020,9 CANBERRA WALK #08-18,New Sale,Strata,88,"12,148",-,Executive Condominium,1,99 yrs from 10/12/2018,Uncompleted,N.A,756945,27,75,North Region,Sembawang
KANDIS RESIDENCE,"980,000",796.54,"1,230",17 Feb 2020,8 KANDIS LINK #01-15,New Sale,Strata,74,"13,243",-,Condominium,1,99 yrs from 11/07/2016,Uncompleted,Private,756970,27,75,North Region,Sembawang
VILLA VERDE,"1,700,000","2,152.8",790,17 Feb 2020,67 VERDE AVENUE,Resale,Land,200,"8,500",-,Terrace House,1,99 yrs from 22/03/1997,2000,HDB,688335,23,68,West Region,Choa Chu Kang
CITY GATE,"1,440,000",807.3,"1,784",17 Feb 2020,371 BEACH ROAD #09-06,Resale,Strata,75,"19,200",-,Apartment,1,99 yrs from 15/04/2014,2018,Private,199597,07,19,Central Region,Kallang
MARINA ONE RESIDENCES,"1,626,550",688.9,"2,361",17 Feb 2020,23 MARINA WAY #18-20,Resale,Strata,64,"25,415",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018979,01,01,Central Region,Downtown Core
N.A.,"3,700,000","3,513.37","1,053",17 Feb 2020,39 MAYFLOWER ROAD,Resale,Land,326.4,"11,336",-,Terrace House,1,Freehold,-,Private,568628,20,56,North East Region,Ang Mo Kio
AUSTVILLE RESIDENCES,"1,120,000","1,345.5",832,17 Feb 2020,11 SENGKANG EAST AVENUE #02-03,Resale,Strata,125,"8,960",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544804,19,54,North East Region,Sengkang
BARTLEY RESIDENCES,"1,640,000","1,162.51","1,411",17 Feb 2020,7A LORONG HOW SUN #14-45,Resale,Strata,108,"15,185",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536565,19,53,North East Region,Serangoon
MARINA ONE RESIDENCES,"2,730,420","1,162.51","2,349",17 Feb 2020,23 MARINA WAY #19-34,Resale,Strata,108,"25,282",-,Apartment,1,99 yrs from 01/07/2011,2017,HDB,018979,01,01,Central Region,Downtown Core
STRATFORD COURT,"1,020,000","1,237.86",824,17 Feb 2020,41A BEDOK RIA CRESCENT #03-22,Resale,Strata,115,"8,870",-,Condominium,1,99 yrs from 23/06/1995,1998,HDB,489929,16,48,East Region,Bedok
PALM ISLES,"1,250,000","1,323.97",944,17 Feb 2020,34 FLORA DRIVE #03-29,Resale,Strata,123,"10,163",-,Condominium,1,99 yrs from 14/09/2011,2015,HDB,506893,17,50,East Region,Pasir Ris
EIGHT RIVERSUITES,"1,055,000",699.66,"1,508",17 Feb 2020,8 WHAMPOA EAST #11-17,Resale,Strata,65,"16,231",-,Condominium,1,99 yrs from 11/07/2011,2016,HDB,338520,12,33,Central Region,Kallang
WATERCOLOURS,"770,000",914.94,842,17 Feb 2020,35 PASIR RIS LINK #05-35,Resale,Strata,85,"9,059",-,Executive Condominium,1,99 yrs from 10/01/2012,2014,Private,518155,18,51,East Region,Pasir Ris
REZI 24,"729,000",452.09,"1,613",18 Feb 2020,39 LORONG 24 GEYLANG #05-05,New Sale,Strata,42,"17,357",-,Apartment,1,Freehold,Uncompleted,HDB,398636,14,39,Central Region,Geylang
COTE D'AZUR,"2,235,000","1,679.18","1,331",18 Feb 2020,66 MARINE PARADE ROAD #13-10,Resale,Strata,156,"14,327",-,Condominium,1,99 yrs from 25/07/2001,2004,Private,449300,15,44,Central Region,Marine Parade
111 EMERALD HILL,"5,406,000","2,120.51","2,549",18 Feb 2020,111 EMERALD HILL ROAD #11-04,Resale,Strata,197,"27,442",-,Apartment,1,Freehold,2011,Private,229391,09,22,Central Region,Newton
VIEW AT KISMIS,"2,053,000","1,270.15","1,616",18 Feb 2020,15 LORONG KISMIS #01-01,New Sale,Strata,118,"17,398",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,HDB,598008,21,59,Central Region,Bukit Timah
VIEW AT KISMIS,"1,005,000",592.02,"1,698",18 Feb 2020,25 LORONG KISMIS #03-38,New Sale,Strata,55,"18,273",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,Private,596189,21,59,Central Region,Bukit Timah
HILLINGTON GREEN,"1,580,000","1,528.49","1,034",18 Feb 2020,47 HILLVIEW AVENUE #04-06,Resale,Strata,142,"11,127",-,Condominium,1,999 yrs from 19/05/1883,2002,HDB,669614,23,66,West Region,Bukit Batok
PARC BOTANNIA,"1,033,900",785.77,"1,316",18 Feb 2020,12 FERNVALE STREET #08-11,New Sale,Strata,73,"14,163",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,HDB,797391,28,79,North East Region,Sengkang
ROSEWOOD,"860,000","1,173.28",733,18 Feb 2020,3 ROSEWOOD DRIVE #11-05,Resale,Strata,109,"7,890",-,Condominium,1,99 yrs from 20/06/2000,2003,HDB,737935,25,73,North Region,Woodlands
THE TAPESTRY,"1,342,170","1,173.28","1,144",18 Feb 2020,53 TAMPINES STREET 86 #15-20,New Sale,Strata,109,"12,313",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528540,18,52,East Region,Tampines
PARC BOTANNIA,"1,308,300",979.52,"1,336",18 Feb 2020,18 FERNVALE STREET #15-33,New Sale,Strata,91,"14,377",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,N.A,797394,28,79,North East Region,Sengkang
3@SANDILANDS,"1,000,000",958,"1,044",18 Feb 2020,3 SANDILANDS ROAD #02-03,Resale,Strata,89,"11,236",-,Apartment,1,999 yrs from 01/01/1886,2010,N.A,546066,19,54,North East Region,Hougang
18 WOODSVILLE,"788,000",495.14,"1,591",18 Feb 2020,18 WOODSVILLE CLOSE #02-04,Resale,Strata,46,"17,130",-,Apartment,1,Freehold,2015,HDB,357799,13,35,Central Region,Toa Payoh
THE BAYSHORE,"880,000",925.7,951,18 Feb 2020,26 BAYSHORE ROAD #06-03,Resale,Strata,86,"10,233",-,Condominium,1,99 yrs from 31/05/1993,1996,Private,469972,16,46,East Region,Bedok
VIEW AT KISMIS,"1,005,000",592.02,"1,698",18 Feb 2020,21 LORONG KISMIS #03-26,New Sale,Strata,55,"18,273",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,HDB,596187,21,59,Central Region,Bukit Timah
VIEW AT KISMIS,"1,506,000",882.65,"1,706",18 Feb 2020,17 LORONG KISMIS #05-08,New Sale,Strata,82,"18,366",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,Private,598010,21,59,Central Region,Bukit Timah
PARC BOTANNIA,"1,037,820",785.77,"1,321",18 Feb 2020,18 FERNVALE STREET #13-28,New Sale,Strata,73,"14,217",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,Private,797394,28,79,North East Region,Sengkang
PARK COLONIAL,"1,414,000",678.13,"2,085",18 Feb 2020,4 WOODLEIGH LANE #13-12,New Sale,Strata,63,"22,444",-,Condominium,1,99 yrs from 11/10/2017,Uncompleted,Private,357686,13,35,Central Region,Toa Payoh
COSTA DEL SOL,"2,350,000","1,991.34","1,180",18 Feb 2020,72 BAYSHORE ROAD #30-14,Resale,Strata,185,"12,703",-,Condominium,1,99 yrs from 05/05/1997,2004,Private,469988,16,46,East Region,Bedok
PARC BOTANNIA,"990,780",775.01,"1,278",18 Feb 2020,12 FERNVALE STREET #03-11,New Sale,Strata,72,"13,761",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,HDB,797391,28,79,North East Region,Sengkang
WARNER COURT,"2,218,000","1,184.04","1,873",18 Feb 2020,110 HOLLAND AVENUE #02-01,Resale,Strata,110,"20,164",-,Apartment,1,Freehold,1985,HDB,278966,10,27,Central Region,Bukit Timah
CHUAN VILLAS,"1,818,000","1,614.6","1,126",18 Feb 2020,21 CHUAN CLOSE,Resale,Land,150,"12,120",-,Terrace House,1,99 yrs from 04/12/1996,2000,Private,554896,19,55,North East Region,Serangoon
SERANGOON GARDEN ESTATE,"3,950,000","2,162.49","1,827",18 Feb 2020,50 BRIDPORT AVENUE,Resale,Land,200.9,"19,662",-,Semi-Detached House,1,999 yrs from 01/01/1954,2019,Private,559340,19,55,North East Region,Serangoon
THE WARREN,"855,000","1,054.87",811,18 Feb 2020,39 CHOA CHU KANG LOOP #05-07,Resale,Strata,98,"8,724",-,Condominium,1,99 yrs from 21/06/2001,2004,HDB,689676,23,68,West Region,Choa Chu Kang
SERANGOON GARDEN ESTATE,"5,580,000","5,391.69","1,035",18 Feb 2020,16A ST. HELIER'S AVENUE,Resale,Land,500.9,"11,140",-,Detached House,1,Freehold,2002,Private,555820,19,55,North East Region,Serangoon
VIEW AT KISMIS,"1,357,000",807.3,"1,681",18 Feb 2020,25 LORONG KISMIS #04-33,New Sale,Strata,75,"18,093",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,Private,596189,21,59,Central Region,Bukit Timah
THE MINTON,"720,888",699.66,"1,030",18 Feb 2020,10D HOUGANG STREET 11 #07-52,Resale,Strata,65,"11,091",-,Condominium,1,99 yrs from 27/07/2007,2013,HDB,534076,19,53,North East Region,Hougang
MANDARIN GARDENS,"1,580,000","1,528.49","1,034",18 Feb 2020,7 SIGLAP ROAD #15-68,Resale,Strata,142,"11,127",-,Condominium,1,99 yrs from 08/03/1982,1986,Private,448909,15,44,East Region,Bedok
KOVAN MELODY,"1,420,000","1,216.33","1,167",18 Feb 2020,35 KOVAN ROAD #17-45,Resale,Strata,113,"12,566",-,Condominium,1,99 yrs from 20/01/2004,2006,Private,545019,19,54,North East Region,Hougang
THE ANTARES,"834,112",452.09,"1,845",18 Feb 2020,21 MATTAR ROAD #04-08,New Sale,Strata,42,"19,860",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,HDB,387729,14,38,Central Region,Geylang
ORCHID PARK CONDOMINIUM,"1,255,000","1,668.42",752,18 Feb 2020,95 YISHUN STREET 81 #11-05,Resale,Strata,155,"8,097",-,Condominium,1,99 yrs from 01/09/1991,1994,Private,768452,27,76,North Region,Yishun
FLORISSA PARK,"3,950,000","3,239.96","1,219",18 Feb 2020,54 FLORISSA PARK,Resale,Land,301,"13,123",-,Semi-Detached House,1,Freehold,1988,Private,789637,26,78,North East Region,Ang Mo Kio
PARC BOTANNIA,"1,314,180",979.52,"1,342",18 Feb 2020,18 FERNVALE STREET #16-33,New Sale,Strata,91,"14,442",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,N.A,797394,28,79,North East Region,Sengkang
ARCHIPELAGO,"1,550,000","1,399.32","1,108",18 Feb 2020,531 BEDOK RESERVOIR ROAD #03-108,Resale,Strata,130,"11,923",-,Condominium,1,99 yrs from 01/06/2011,2015,HDB,479282,16,47,East Region,Bedok
VIEW AT KISMIS,"1,148,000",688.9,"1,666",18 Feb 2020,23 LORONG KISMIS #01-27,New Sale,Strata,64,"17,938",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,Private,596188,21,59,Central Region,Bukit Timah
VIEW AT KISMIS,"994,000",592.02,"1,679",18 Feb 2020,23 LORONG KISMIS #02-32,New Sale,Strata,55,"18,073",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,HDB,596188,21,59,Central Region,Bukit Timah
THE WOODLEIGH RESIDENCES,"1,274,000",688.9,"1,849",18 Feb 2020,19 BIDADARI PARK DRIVE #08-18,New Sale,Strata,64,"19,906",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,HDB,367794,13,36,Central Region,Toa Payoh
THE FLORAVALE,"870,000","1,248.62",697,18 Feb 2020,226 WESTWOOD AVENUE #09-19,Resale,Strata,116,"7,500",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,648357,22,64,West Region,Jurong West
HILLCREST VILLA,"2,950,000","3,153.85",935,18 Feb 2020,7S HILLCREST ROAD,Resale,Strata,293,"10,068",-,Terrace House,1,99 yrs from 03/08/2006,2009,Private,286700,11,28,Central Region,Bukit Timah
AUSTVILLE RESIDENCES,"905,000","1,033.34",876,18 Feb 2020,15 SENGKANG EAST AVENUE #08-13,Resale,Strata,96,"9,427",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,N.A,544806,19,54,North East Region,Sengkang
THE WOODLEIGH RESIDENCES,"1,166,000",667.37,"1,747",18 Feb 2020,21 BIDADARI PARK DRIVE #05-28,New Sale,Strata,62,"18,806",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,Private,367795,13,36,Central Region,Toa Payoh
MOUNT SOPHIA SUITES,"728,000",473.62,"1,537",18 Feb 2020,95 SOPHIA ROAD #01-01,Resale,Strata,44,"16,545",-,Apartment,1,Freehold,2010,HDB,228163,09,22,Central Region,Rochor
PIERMONT GRAND,"1,514,700","1,367.03","1,108",19 Feb 2020,26 SUMANG WALK #09-09,New Sale,Strata,127,"11,927",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828618,19,82,North East Region,Punggol
THE FLORENCE RESIDENCES,"969,000",635.08,"1,526",19 Feb 2020,81 HOUGANG AVENUE 2 #10-09,New Sale,Strata,59,"16,424",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538859,19,53,North East Region,Hougang
FERRARIA PARK CONDOMINIUM,"1,440,000","1,571.54",916,19 Feb 2020,26 FLORA DRIVE #07-50,Resale,Strata,146,"9,863",-,Condominium,1,Freehold,2009,HDB,506950,17,50,East Region,Pasir Ris
KENT RIDGE HILL RESIDENCES,"897,000",516.67,"1,736",19 Feb 2020,64 SOUTH BUONA VISTA ROAD #02-47,New Sale,Strata,48,"18,688",-,Apartment,1,99 yrs from 10/11/2018,Uncompleted,N.A,118174,05,11,Central Region,Queenstown
PENG'S COURT,"1,070,000",990.29,"1,080",19 Feb 2020,226 TEMBELING ROAD #03-01,Resale,Strata,92,"11,630",-,Apartment,1,Freehold,1985,HDB,423714,15,42,Central Region,Marine Parade
TWIN VEW,"1,400,000",904.18,"1,548",19 Feb 2020,91 WEST COAST VALE #20-01,New Sale,Strata,84,"16,667",-,Apartment,1,99 yrs from 15/05/2017,Uncompleted,Private,126755,05,12,West Region,Clementi
NV RESIDENCES,"1,090,000","1,248.62",873,19 Feb 2020,87 PASIR RIS GROVE #01-18,Resale,Strata,116,"9,397",-,Condominium,1,99 yrs from 07/01/2008,2013,Private,518213,18,51,East Region,Pasir Ris
PARC ESTA,"853,000",452.09,"1,887",19 Feb 2020,900 SIMS AVENUE #14-05,New Sale,Strata,42,"20,310",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408966,14,40,Central Region,Geylang
STIRLING RESIDENCES,"1,894,000","1,054.87","1,795",19 Feb 2020,23 STIRLING ROAD #14-16,New Sale,Strata,98,"19,327",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,Private,148961,03,14,Central Region,Queenstown
THE ANSLEY,"3,888,888","3,024.68","1,286",19 Feb 2020,33 MANDALAY ROAD #28-03,Resale,Strata,281,"13,839",-,Condominium,1,Freehold,2004,Private,308214,11,30,Central Region,Novena
HIGH PARK RESIDENCES,"505,000",387.5,"1,303",19 Feb 2020,31 FERNVALE ROAD #13-46,Sub Sale,Strata,36,"14,028",-,Apartment,1,99 yrs from 05/11/2014,2019,HDB,797417,28,79,North East Region,Sengkang
IVORY HEIGHTS,"1,562,888","1,668.42",937,19 Feb 2020,124 JURONG EAST STREET 13 #05-03,Resale,Strata,155,"10,083",-,Condominium,1,100 yrs from 01/02/1986,-,HDB,600124,22,60,West Region,Jurong East
AVENUE SOUTH RESIDENCE,"2,203,000","1,108.69","1,987",19 Feb 2020,11 SILAT AVENUE #24-27,New Sale,Strata,103,"21,388",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,168877,03,16,Central Region,Bukit Merah
PARC ESTA,"1,887,000","1,119.46","1,686",19 Feb 2020,910 SIMS AVENUE #14-50,New Sale,Strata,104,"18,144",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408971,14,40,Central Region,Geylang
THE TRE VER,"869,000",495.14,"1,755",19 Feb 2020,64 POTONG PASIR AVENUE 1 #18-21,New Sale,Strata,46,"18,891",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,Private,358393,13,35,Central Region,Toa Payoh
THE SHELFORD,"2,920,530","1,453.14","2,010",19 Feb 2020,1D SHELFORD ROAD #03-23,Resale,Strata,135,"21,634",-,Condominium,1,Freehold,2005,Private,286889,11,28,Central Region,Bukit Timah
SILVERSEA,"5,300,000","2,464.96","2,150",19 Feb 2020,50 MARINE PARADE ROAD #16-15,Resale,Strata,229,"23,144",-,Condominium,1,99 yrs from 20/07/2007,2014,Private,449307,15,44,Central Region,Marine Parade
ST ANNE'S WOOD,"2,388,000","1,614.6","1,479",19 Feb 2020,40 ST. ANNE'S WOOD,Resale,Land,150,"15,920",-,Terrace House,1,999 yrs from 27/12/1875,1996,Private,545232,19,54,North East Region,Sengkang
SHERWOOD TOWER,"1,120,000","1,420.85",788,19 Feb 2020,3 JALAN ANAK BUKIT #13-04,Resale,Strata,132,"8,485",-,Apartment,1,99 yrs from 30/08/1976,1980,Private,588998,21,58,Central Region,Bukit Timah
THE MERLOT,"988,000",882.65,"1,119",19 Feb 2020,101 KENG LEE ROAD #05-01,Resale,Strata,82,"12,049",-,Apartment,1,Freehold,2009,N.A,219261,08,21,Central Region,Kallang
TWIN VEW,"1,558,000","1,054.87","1,477",19 Feb 2020,93 WEST COAST VALE #31-10,New Sale,Strata,98,"15,898",-,Apartment,1,99 yrs from 15/05/2017,Uncompleted,Private,126756,05,12,West Region,Clementi
MANDARIN GARDENS,"1,550,000","1,786.82",867,19 Feb 2020,1 SIGLAP ROAD #02-13,Resale,Strata,166,"9,337",-,Condominium,1,99 yrs from 08/03/1982,1986,Private,448906,15,44,East Region,Bedok
JADESCAPE,"1,332,000",764.24,"1,743",19 Feb 2020,16 SHUNFU ROAD #18-54,New Sale,Strata,71,"18,761",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,N.A,575749,20,57,Central Region,Bishan
N.A.,"19,500,000","15,217.07","1,281",19 Feb 2020,30 OEI TIONG HAM PARK,Resale,Land,"1,413.7","13,794",-,Detached House,1,Freehold,1997,Private,267035,10,26,Central Region,Bukit Timah
ELIAS GREEN,"1,035,000","1,528.49",677,19 Feb 2020,9 ELIAS GREEN #12-03,Resale,Strata,142,"7,289",-,Condominium,1,99 yrs from 23/07/1991,1994,HDB,519963,18,51,East Region,Pasir Ris
HOLLAND PEAK,"880,000",592.02,"1,486",19 Feb 2020,27 HOLLAND HILL #01-02,Resale,Strata,55,"16,000",-,Condominium,1,Freehold,1994,Private,278741,10,27,Central Region,Bukit Timah
SUNGLADE,"1,350,000","1,108.69","1,218",19 Feb 2020,9 SERANGOON AVENUE 2 #02-23,Resale,Strata,103,"13,107",-,Condominium,1,99 yrs from 09/10/2000,2003,Private,556134,19,55,North East Region,Serangoon
DOUBLE BAY RESIDENCES,"1,410,000","1,259.39","1,120",20 Feb 2020,19 SIMEI STREET 4 #10-17,Resale,Strata,117,"12,051",-,Condominium,1,99 yrs from 07/04/2008,2012,Private,529885,18,52,East Region,Tampines
IDYLLIC SUITES,"560,000",430.56,"1,301",20 Feb 2020,21 LORONG 30 GEYLANG #03-05,Resale,Strata,40,"14,000",-,Apartment,1,Freehold,2014,Private,398353,14,39,Central Region,Geylang
COSTA DEL SOL,"2,100,000","1,560.78","1,345",20 Feb 2020,78 BAYSHORE ROAD #29-23,Resale,Strata,145,"14,483",-,Condominium,1,99 yrs from 05/05/1997,2003,Private,469991,16,46,East Region,Bedok
D'MANOR,"1,775,000","2,723.29",652,20 Feb 2020,11 TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"7,016",-,Terrace House,1,99 yrs from 14/03/1997,2000,Private,465633,16,46,East Region,Bedok
EQUATORIAL APARTMENTS,"3,500,000","2,411.14","1,452",20 Feb 2020,52 MEYER ROAD #12-52,Resale,Strata,224,"15,625",-,Apartment,1,Freehold,1981,Private,437875,15,43,Central Region,Marine Parade
WESTVILLE,"1,360,000","1,613.52",843,20 Feb 2020,194 WESTWOOD CRESCENT,Resale,Land,149.9,"9,073",-,Terrace House,1,99 yrs from 01/12/1994,1998,Private,648561,22,64,West Region,Jurong West
LUMA,"1,685,000",904.18,"1,864",20 Feb 2020,6 RIVER VALLEY GROVE #16-02,Resale,Strata,84,"20,060",-,Apartment,1,Freehold,2011,Private,238403,09,23,Central Region,River Valley
N.A.,"2,700,000","1,665.19","1,621",20 Feb 2020,46A LORONG M TELOK KURAU,Resale,Land,154.7,"17,453",-,Terrace House,1,Freehold,1992,Private,425334,15,42,East Region,Bedok
STIRLING RESIDENCES,"1,215,000",656.6,"1,850",20 Feb 2020,25 STIRLING ROAD #25-29,New Sale,Strata,61,"19,918",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,HDB,148962,03,14,Central Region,Queenstown
JADESCAPE,"2,174,400","1,259.39","1,727",20 Feb 2020,12 SHUNFU ROAD #17-42,New Sale,Strata,117,"18,585",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,N.A,575747,20,57,Central Region,Bishan
PARC CANBERRA,"1,216,000","1,151.75","1,056",20 Feb 2020,9 CANBERRA WALK #03-19,New Sale,Strata,107,"11,364",-,Executive Condominium,1,99 yrs from 10/12/2018,Uncompleted,HDB,756945,27,75,North Region,Sembawang
THE ANCHORAGE,"3,170,000","2,077.45","1,526",20 Feb 2020,370H ALEXANDRA ROAD #16-03,Resale,Strata,193,"16,425",-,Condominium,1,Freehold,1997,Private,159961,03,15,Central Region,Queenstown
SEASIDE RESIDENCES,"1,071,140",559.73,"1,914",20 Feb 2020,16 SIGLAP LINK #06-17,New Sale,Strata,52,"20,599",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,HDB,448872,15,44,East Region,Bedok
PARC BOTANNIA,"1,001,000",785.77,"1,274",20 Feb 2020,10 FERNVALE STREET #06-02,New Sale,Strata,73,"13,712",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,N.A,797390,28,79,North East Region,Sengkang
DOMAIN 21,"848,000",559.73,"1,515",20 Feb 2020,23 DELTA ROAD #11-06,Resale,Strata,52,"16,308",-,Condominium,1,99 yrs from 02/07/2004,2007,HDB,169814,03,16,Central Region,Bukit Merah
PARC ESTA,"1,184,000",635.08,"1,864",20 Feb 2020,912 SIMS AVENUE #17-58,New Sale,Strata,59,"20,068",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408972,14,40,Central Region,Geylang
ONE MEYER,"1,568,000",613.55,"2,556",20 Feb 2020,1 MEYER PLACE #07-03,New Sale,Strata,57,"27,509",-,Apartment,1,Freehold,Uncompleted,N.A,437988,15,43,Central Region,Marine Parade
TRILIGHT,"2,070,000","1,162.51","1,781",20 Feb 2020,7 NEWTON ROAD #12-05,Resale,Strata,108,"19,167",-,Condominium,1,Freehold,2012,Private,307945,11,30,Central Region,Novena
LUXUS HILLS,"4,110,000","2,949.34","1,394",20 Feb 2020,80 LUXUS HILL DRIVE,Resale,Land,274,"15,000",-,Semi-Detached House,1,999 yrs from 01/01/1879,2018,Private,804797,28,80,North East Region,Serangoon
TREASURE AT TAMPINES,"829,000",581.26,"1,426",20 Feb 2020,41 TAMPINES LANE #05-136,New Sale,Strata,54,"15,352",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528465,18,52,East Region,Tampines
MICHAELS' RESIDENCES,"3,030,000","2,234.61","1,356",20 Feb 2020,31 ALMOND STREET,Resale,Land,207.6,"14,595",-,Semi-Detached House,1,99 yrs from 21/03/2012,2015,Private,677680,23,67,West Region,Bukit Panjang
TREASURE AT TAMPINES,"1,370,000","1,033.34","1,326",20 Feb 2020,41 TAMPINES LANE #10-134,New Sale,Strata,96,"14,271",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528465,18,52,East Region,Tampines
URBAN VISTA,"1,160,000",893.41,"1,298",20 Feb 2020,4 TANAH MERAH KECHIL LINK #08-08,Resale,Strata,83,"13,976",-,Condominium,1,99 yrs from 05/11/2012,2016,Private,465418,16,46,East Region,Bedok
CASUARINA COVE,"1,670,000","1,388.56","1,203",20 Feb 2020,120 TANJONG RHU ROAD #09-05,Resale,Strata,129,"12,946",-,Condominium,1,99 yrs from 20/10/1993,1996,Private,436904,15,43,Central Region,Kallang
THE TRE VER,"1,259,000",742.72,"1,695",20 Feb 2020,68 POTONG PASIR AVENUE 1 #14-34,New Sale,Strata,69,"18,246",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,Private,358395,13,35,Central Region,Toa Payoh
THE VISIONAIRE,"1,088,000","1,140.98",954,20 Feb 2020,184 CANBERRA DRIVE #03-31,Resale,Strata,106,"10,264",-,Executive Condominium,1,99 yrs from 09/01/2015,2018,HDB,767954,27,76,North Region,Sembawang
D' SILVA TERRACE,"2,750,000","1,630.75","1,686",20 Feb 2020,15M KANG CHOO BIN ROAD,Resale,Land,151.5,"18,152",-,Terrace House,1,999 yrs from 19/02/1883,1995,Private,548284,19,54,North East Region,Hougang
TREASURE AT TAMPINES,"2,110,000","1,722.24","1,225",20 Feb 2020,29 TAMPINES LANE #09-99,New Sale,Strata,160,"13,188",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528471,18,52,East Region,Tampines
TEN @ SUFFOLK,"1,760,000","1,184.04","1,486",20 Feb 2020,10 SUFFOLK ROAD #12-01,Resale,Strata,110,"16,000",-,Apartment,1,Freehold,2006,HDB,307786,11,30,Central Region,Novena
COMMONWEALTH TOWERS,"881,000",452.09,"1,949",20 Feb 2020,230 COMMONWEALTH AVENUE #28-02,Resale,Strata,42,"20,976",-,Condominium,1,99 yrs from 07/05/2013,2017,HDB,149739,03,14,Central Region,Queenstown
CARIBBEAN AT KEPPEL BAY,"1,940,000","1,334.74","1,453",20 Feb 2020,42 KEPPEL BAY DRIVE #03-102,Resale,Strata,124,"15,645",-,Condominium,1,99 yrs from 16/08/1999,2004,Private,098656,04,09,Central Region,Bukit Merah
WHISTLER GRAND,"1,084,810",764.24,"1,419",20 Feb 2020,109 WEST COAST VALE #08-15,New Sale,Strata,71,"15,279",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,Private,126752,05,12,West Region,Clementi
HIGH PARK RESIDENCES,"888,000",721.19,"1,231",20 Feb 2020,25 FERNVALE ROAD #09-20,Sub Sale,Strata,67,"13,254",-,Apartment,1,99 yrs from 05/11/2014,2019,Private,797639,28,79,North East Region,Sengkang
PARC BOTANNIA,"1,219,000",871.88,"1,398",20 Feb 2020,12 FERNVALE STREET #20-12,New Sale,Strata,81,"15,049",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,N.A,797391,28,79,North East Region,Sengkang
38 I SUITES,"950,000","1,076.4",883,20 Feb 2020,38 IPOH LANE #16-11,Resale,Strata,100,"9,500",-,Apartment,1,Freehold,2014,Private,438646,15,43,Central Region,Geylang
THE BERTH BY THE COVE,"1,650,000","1,140.98","1,446",20 Feb 2020,214 OCEAN DRIVE #04-17,Resale,Strata,106,"15,566",-,Condominium,1,99 yrs from 18/03/2004,2006,Private,098623,04,09,Central Region,Southern Islands
PIERMONT GRAND,"1,404,200","1,302.44","1,078",20 Feb 2020,32 SUMANG WALK #02-23,New Sale,Strata,121,"11,605",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828621,19,82,North East Region,Punggol
GRAND DUCHESS AT ST PATRICK'S,"3,200,000","1,969.81","1,625",20 Feb 2020,128 ST. PATRICK'S ROAD #02-03,Resale,Strata,183,"17,486",-,Condominium,1,Freehold,2010,Private,424210,15,42,East Region,Bedok
